channel,watch_time,stream_time,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,1,0,English
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,1,0,English
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,1,1,Portuguese
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,1,0,English
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,1,0,English
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,1,0,English
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,1,0,English
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,1,0,English
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,1,0,English
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,1,0,English
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,1,1,English
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,1,0,English
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,1,0,English
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,1,0,Spanish
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,1,0,Spanish
MontanaBlack88,2408460990,67740,181600,33514,2911316,1101093,37189666,1,1,German
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,1,1,English
풍월량 (hanryang1125),2186662470,181230,26999,12201,494445,92205,34405975,1,0,Korean
alanzoka,2055003870,103770,89153,19560,3445134,1325075,46515698,1,0,Portuguese
CohhCarnage,2029212570,175230,43615,11343,1264808,124242,38718674,1,0,English
Lord_Kebun,1943299035,153720,34830,12367,434200,137215,19645967,1,0,English
LCK_Korea,1916365860,47325,140557,39848,619382,255088,76225485,1,0,Korean
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,1,0,English
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,1,0,English
TheRealKnossi,1811696100,56010,288459,24595,1260160,1082039,25342894,1,1,German
TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,1,0,Spanish
YoDa,1690237110,135675,123796,12868,1792625,383130,38499423,1,0,Portuguese
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,1,0,English
한동숙 (handongsuk),1621667925,127815,44976,12869,385250,73602,30610352,1,0,Korean
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,1,0,English
Solary,1546597380,486510,24470,3187,493207,143569,48799554,1,0,French
Gotaga,1538511315,141675,81644,10750,2401580,632118,39591707,1,0,French
MOONMOON,1527882945,124680,24892,11220,923448,95776,13505898,1,1,English
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,1,0,English
OgamingLoL,1483207890,496950,204491,3020,523758,115965,71583995,1,0,French
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,1,0,English
Evelone192,1474742220,83010,106900,16422,1075101,826433,47400543,1,0,Russian
nl_Kripp,1470897720,155895,29316,9256,1379123,96793,20034033,1,0,English
LEC,1470431925,45660,305119,28830,973727,551345,25924096,1,0,English
dota2mc_ru,1464683175,66675,182869,19495,428284,156721,38774178,1,0,Russian
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,1,0,English
LCS,1461310140,31125,214124,46459,1162746,526244,28313058,1,0,English
ROSHTEIN,1435735725,118995,45843,11717,381918,242369,17836875,0,1,English
ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,1,0,Spanish
TFBlade,1394312895,141285,35833,9117,1008040,450146,35978104,1,0,English
Sardoche,1361024835,164235,144066,8066,746865,370358,32261961,1,1,French
LCK,1351758525,37140,171861,36030,934688,307853,28970100,1,0,English
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,1,0,English
HasanAbi,1339344945,193560,44649,6543,470123,340810,14154952,1,0,English
BeyondTheSummit,1339097490,505080,116547,2635,923689,114948,42403593,1,0,English
Dota2RuHub,1330625430,92160,105359,13189,777510,126221,43831479,1,0,Russian
Bugha,1324519320,100470,66311,12982,2942212,2220765,49441744,1,0,English
RocketLeague,1322448480,33540,206681,36086,1409120,412101,57189129,1,0,English
csgomc_ru,1308967860,77955,364816,17020,492954,447601,42952835,1,0,Russian
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,1,0,English
Gorgc,1252711830,141135,56449,8683,391726,136943,20882507,1,1,English
서새봄냥 (saddummy),1241997345,182310,25482,6681,580794,97615,30550147,1,0,Korean
NoWay4u_Sir,1234567245,139920,24286,8479,383892,108832,23037239,1,0,German
RiotGamesBrazil,1228613130,38370,255542,25918,1011924,325801,33796768,1,0,Portuguese
JLTomy,1228169940,121455,42079,10053,428073,277529,13890640,1,0,French
SolaryFortnite,1223349555,381735,46710,3180,1478270,447191,26737542,1,0,French
ONSCREEN,1197130335,134880,88516,4134,918654,669348,22820310,1,0,English
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,1,0,English
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,1,1,English
Trymacs,1184154975,107880,50957,10735,1607134,582089,21254933,1,0,German
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,1,1,English
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,1,0,English
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,1,0,English
fps_shaka,1131509385,215160,26572,5195,303671,128907,21331882,1,0,Japanese
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,1,0,Spanish
Vader,1110952500,184305,16289,5913,424374,57681,11535871,1,1,English
forsen,1106781045,109140,33966,10080,1308165,164792,18534278,1,1,English
Papaplatte,1105525440,125550,42230,8546,919026,552959,23472239,1,0,German
StarLadder_cs_en,1088832810,32880,329195,29956,820675,260993,29821162,1,0,English
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,1,1,English
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,1,0,English
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,1,0,English
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,1,1,English
stylishnoob4,1029543660,118515,25263,8485,354579,124038,20638084,1,0,Japanese
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,1,0,English
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,1,1,English
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,1,0,English
GRONKH,1017544335,54645,100330,17860,1216020,192000,16800930,1,0,German
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,1,0,English
ZeratoR,1011013035,84960,262273,10516,880728,240442,31456198,1,1,French
SilverName,1006608690,95625,29927,10618,614395,108466,27464678,1,0,Russian
Sacriel,1002681105,163095,66781,5573,672403,136341,60194490,1,0,English
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,1,0,English
Stray228,972961650,93750,36971,10290,773712,197486,23738903,1,0,Russian
AdmiralBulldog,972317520,154845,16681,6198,694253,66513,17095676,1,1,English
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,1,0,English
lestream,955346835,253395,47638,3652,883706,124020,25815105,1,0,French
ybicanoooobov,938816460,114765,17036,8255,523512,101937,16237397,1,0,Russian
Method,905107560,230940,148350,4135,401400,132108,22813009,1,0,English
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,1,0,English
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,1,0,English
shroud,888505170,30240,471281,29612,7744066,833587,30621257,1,0,English
NOBRU,888211260,38655,132224,22070,1549722,1400039,6781403,1,0,Portuguese
buster,884353800,59295,97838,14195,1087377,1052053,37351933,1,0,Russian
Scarra,864157695,138360,27421,6060,1242014,333090,15626904,1,0,English
Baiano,859718520,85860,107069,9229,425797,363343,19412227,1,0,Portuguese
괴물쥐123 (tmxk319),857951685,116400,71933,7173,427926,367486,17151766,1,0,Korean
WePlayEsport_RU,853324635,92970,115737,8627,346934,243137,28789066,1,0,Russian
elded,853049385,110940,44758,7699,2601858,1108422,14789437,1,0,Spanish
LPL,850636305,48765,146577,17573,502467,280538,31029241,1,0,English
juansguarnizo,849083325,123780,45631,6039,1204773,946280,12708431,1,0,Spanish
Rakin,842581305,144510,51854,5333,1258173,517248,24523589,1,0,Portuguese
SolaryHS,827452485,460065,17513,1802,149073,35986,10445269,1,0,French
Cellbit,817373955,103095,68813,8264,1293451,547018,18105470,1,0,Portuguese
dota2ti_ru,812538090,6195,457060,126232,541644,108438,12068376,1,0,Russian
uzra,812362125,208785,14181,3683,185506,29752,20715640,1,0,Chinese
OverwatchLeague,805163370,24480,254493,33132,1796619,83198,27099682,1,0,English
Thijs,794621265,108720,24923,7180,755116,68557,15548337,1,0,English
Swagg,790021440,108375,74199,6309,784966,723082,7527027,1,0,English
TeePee,789698115,170010,78741,4410,520519,238257,17102146,1,1,English
LVNDMARK,788421150,199350,96236,3688,248829,244295,8815201,1,0,English
Agraelus,779867430,169515,23555,4642,414951,132125,20334558,1,1,Czech
BLASTPremier,753808200,25260,113167,24689,501371,315910,21104122,1,0,English
cloakzy,748023225,101670,40497,6743,2138294,558107,14533643,1,0,English
aceu,744620970,118125,26141,6328,859439,763489,15894732,1,1,English
蝦愛橘子 (shuteye_orange),728551080,325935,7441,2217,85247,29549,18572922,1,1,Chinese
Elraenn,726379485,51150,65543,13224,1223076,672978,20881140,1,0,Turkish
Elajjaz,726000045,145755,13080,4922,346566,37883,12800182,1,0,English
CDNThe3rd,722562675,134280,55752,4919,2009972,167704,15136396,1,0,English
POW3Rtv,721548885,177885,69009,3836,1080764,495072,23271722,1,0,Italian
IzakOOO,717096330,129165,43050,4463,1461767,286467,23586902,1,0,Polish
DreadzTV,715644660,109725,35865,6249,675908,57448,32228705,1,1,Russian
따효니 (ddahyoni),711864630,152445,17253,4534,322895,46946,15586820,1,0,Korean
WePlayEsport_EN,704823000,107745,87751,6127,175061,137229,17857171,1,0,English
ElmiilloR,686456910,126105,45726,5163,426716,189847,20714971,1,0,Spanish
Squeezie,667977780,29775,158972,19260,2149306,875678,21128175,1,0,French
allkeyshop_tv,663185955,487005,6075,1361,67472,26937,55639770,1,0,English
Domingo,662502810,65610,102022,11423,829700,276400,23040428,1,0,French
PlayHearthstone,661075170,41175,43877,13154,825727,39065,28719610,1,0,English
ESL_DOTA2,661049190,212010,99858,4714,337177,91323,14784068,1,0,English
Kitboga,656365305,80760,20913,7394,772055,331906,8392545,1,0,English
DansGaming,653181210,187530,33646,3270,817365,29415,13757678,1,0,English
老皮 (mobilmobil),652685055,126120,16497,5303,446426,34362,20520762,1,1,Chinese
Destiny,650910525,162690,24101,3894,571183,115692,8579344,1,1,English
우왁굳 (woowakgood),650364705,158850,14177,4100,591500,207575,18626351,1,0,Korean
RATIRL,649761570,145050,14480,4420,423002,249048,14109245,1,1,English
bratishkinoff,646333065,60795,56790,10626,1128907,389268,25254350,1,0,Russian
Yogscast,644580630,443130,54885,1384,961860,127684,20999649,1,0,English
앰비션_ (lol_ambition),639445965,113415,57254,5332,362297,108498,17248420,1,0,Korean
jukes,628079220,76605,24263,8165,1327059,353576,19915875,1,0,Portuguese
木棉花官方頻道 (muse_tw),625892895,446655,16702,1397,121053,120954,13670649,1,1,Chinese
Shlorox,625142130,115650,13945,5216,331632,77979,13181386,1,0,German
coscu,622424175,77160,80444,8919,1865296,1061265,19438119,1,0,Spanish
dogdog,622199835,103335,24727,5856,594239,50345,12089717,1,0,English
chocoTaco,620395515,160830,30514,3846,1134153,250201,17922897,1,0,English
Locklear,619247415,108450,50103,5512,824676,469017,17854413,1,0,French
餐餐自由配 (blusewilly_retry),618755280,100515,17585,5941,374480,42764,18366224,1,0,Chinese
Amouranth,618067800,235170,13495,2560,1707804,532750,48015117,1,0,English
UberHaxorNova,615472275,181950,7808,3247,421256,65267,7518457,1,0,English
Sfory,612617325,73590,75219,3197,457502,450299,12391816,1,0,Russian
Giantwaffle,612594165,165525,36340,3429,878934,15334,10831070,1,0,English
ZanoXVII,610609920,95730,30648,6073,514866,322929,6034891,1,0,Italian
침착맨 (zilioner),601906185,97545,43164,5843,465887,121506,18265409,1,0,Korean
SkipNhOLIVE,600910875,498765,7940,1196,324765,271487,6544645,1,0,Portuguese
Kamet0,600882645,130620,70983,4560,565661,221911,14071951,1,0,French
MYM_ALKAPONE,599850495,97830,26221,5948,770535,153803,7831334,1,0,Spanish
김진우 (jinu6734),597275955,121545,12810,4710,274875,90213,9977487,1,0,Korean
imaqtpie,596368095,167190,26087,3478,2652018,50312,13182700,1,0,English
x2Twins,595707975,125745,31874,4167,1288969,1035561,15264996,1,0,English
C_a_k_e,588662010,129660,17317,4403,302633,45957,18161823,1,0,Russian
SmiteGame,586925850,344055,33245,1588,535211,73678,8305604,1,0,English
RatedEpicz,582401145,175920,11860,3336,134757,74221,7251200,1,1,English
wtcN,582125625,77385,73861,7438,1852272,566210,25333548,1,1,Turkish
Anton,581034300,142890,137531,3199,207484,128050,6176254,1,1,English
benjyfishy,580787955,34350,75491,14423,1739112,1455278,20411553,1,0,English
StarLadder5,580541850,41715,189859,13089,1029203,104382,21525216,1,0,Russian
Reborn_Live,578122875,32100,57849,17488,697007,682512,9965787,1,1,Spanish
CasinoDaddy,577240710,267465,6524,2168,151098,42680,7493491,0,1,English
H2P_Gucio,575998575,157995,10011,3581,220488,78264,13401489,1,0,Polish
Xayoo_,575138175,91260,23935,6091,572789,215098,12984472,1,0,Polish
Jinnytty,569601090,151815,15190,3607,372334,213291,15165872,1,0,English
KendineMuzisyen,567374295,58545,43422,9583,1372290,486410,17629667,1,1,Turkish
Jahrein,566176425,61890,43683,8929,1422862,247212,18410268,1,0,Turkish
Mathil1,561997440,134715,25866,3953,293595,66982,13159849,1,0,English
Greekgodx,561616335,89745,45741,7083,1278824,403108,12441822,1,1,English
Brunenger,559915035,183225,64308,2844,659652,649562,12736000,1,0,Spanish
ClassyBeef,558883590,273660,33624,1941,108623,88671,6626543,0,1,English
Diegosaurs,558587535,128580,32463,4150,521201,270255,9851921,1,1,English
BobRoss,558170835,238035,11659,2175,1519266,216326,7491995,1,0,English
Nick28T,556741020,183660,15155,3024,977377,78054,6777975,1,1,English
녹두로 (nokduro),555637890,140670,15858,4040,165823,95603,9518923,1,0,Korean
GMHikaru,554249955,68355,46106,7155,505361,425023,20086431,1,0,English
SkipNhO,553663800,131580,23408,3875,1076499,281967,13901197,1,0,Portuguese
jovirone,553283745,96450,29272,5632,1089830,300545,17980307,1,0,Portuguese
Chap,550951215,157545,22571,3430,1272899,273926,13683195,1,0,English
김도 (kimdoe),549244755,134985,11759,4062,287639,10062,14188002,1,1,Korean
RebirthzTV,548041425,118920,14578,4629,276694,76546,8434367,1,0,Thai
Klean,545108145,169605,101124,2801,276242,154466,7844435,1,0,English
接接 (godjj),544706325,126705,12461,4378,331744,19325,20264128,1,0,Chinese
Gladd,543954570,171195,54477,2779,337972,157424,9290817,1,0,English
CSRuHub,540556545,110880,106003,5044,511431,121099,23271913,1,0,Russian
CriticalRole,539495145,21300,110800,17689,571210,237069,7827030,1,0,English
Vinesauce,536989080,86790,19065,6125,442493,80616,5560969,1,1,English
울프 (lol_woolf),532969650,50910,73800,9633,308528,141297,9294132,1,0,Korean
Mithrain,530456265,105540,40183,4990,1258713,371005,24222810,1,0,Turkish
EWROON,526660590,101235,21341,5172,514693,232079,13289271,1,0,Polish
ludwig,525883695,94575,60346,5368,542580,505089,8508355,1,0,English
RduLIVE,525737445,127380,11854,3953,234884,62490,7653194,1,0,English
Hiko,523057245,79665,41644,5268,1001350,479830,11106951,1,0,English
FENGRUSH,521568750,100605,16128,4985,95643,23288,44675247,1,0,English
Chess,521511525,96315,83666,5767,326118,181232,84500786,1,0,English
72hrs,519458565,136515,30702,3756,1024814,315190,12051692,1,0,English
TwitchRivals,516113670,36555,109148,14509,999480,644684,71159574,1,0,English
狂暴小建 (a541021),516009420,166575,8337,3105,207369,18023,18201933,1,0,Chinese
hashinshin,515812965,192255,12540,2483,570621,159892,11386166,1,0,English
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,1,0,English
B0aty,510323715,151215,22375,3152,516113,49577,8448691,1,1,English
AustinShow,509643945,21000,72199,24739,840624,378656,11648873,1,1,English
39daph,509052375,135495,12648,3766,505362,470589,8983449,1,0,English
scump,506838930,71355,79976,6789,893010,275270,8661072,1,0,English
플러리 (flurry1989),505333050,128790,12084,3859,169505,51935,10969148,1,0,Korean
Kyle,501208575,161295,9339,3059,182260,60506,5692219,1,1,English
SummonersInnLive,499421415,64875,110095,6328,503346,46779,13724263,1,0,German
Aydan,495563580,140595,51268,3507,1701314,425036,11009240,1,1,English
Faker,492835710,17115,56325,29414,2716270,750480,26508938,1,0,Korean
Mongraal,492733995,27060,89706,18180,2951980,1454481,19515587,1,0,English
탬탬버린 (2chamcham2),490230510,95055,16243,5107,489270,144698,13076008,1,0,Korean
EmadGG,487281450,132630,67732,2741,702744,623391,9556065,1,0,English
쌍베 (pacific8815),483895050,120435,20936,3992,171858,54326,14452008,1,0,Korean
FolagorLives,482387190,79995,57813,5032,786983,417899,9640983,1,0,Spanish
lilypichu,477949200,56280,33075,8407,1363222,657630,14729189,1,0,English
mistermv,476597370,71655,39961,6627,479900,150486,12959273,1,1,French
Bonjwa,473157810,251250,11063,1802,123954,20250,14247514,1,0,German
KingGeorge,472786395,160140,12621,2914,767727,250434,6445996,1,0,English
KingRichard,472405995,137175,17327,3312,1536757,109795,9570639,1,0,English
melharucos,468792120,130275,13825,3519,328473,59167,17845821,1,1,Russian
INSCOPE21TV,468467130,59925,51244,7554,658658,491663,10630158,1,1,German
JohnPitterTV,461605275,508965,4148,900,286184,211365,19054606,1,0,Portuguese
Zizaran,460519830,156195,20745,2552,267004,47149,16917944,1,0,English
imls,460332570,78945,32758,5621,392024,177673,8610645,1,0,English
TSM_ImperialHal,459076530,120975,23107,3550,302593,287810,8907366,1,0,English
악어 (jdm2088),458883255,32625,65622,15405,276488,132821,5377506,1,0,Korean
Ramee,457242510,159825,10845,2825,132642,74094,6606894,1,0,English
Towelliee,453487500,183090,15495,2392,705098,21398,17009119,1,0,English
SPYGEA,452479680,143730,17228,3131,222046,92067,10569192,1,0,Japanese
FollowGrubby,451910415,132015,15296,3365,430649,46282,12249560,1,0,English
Amar,449223195,100800,45549,4207,604374,281928,11787544,1,0,German
mch_AGG,443328990,499575,11191,884,219431,124548,11142208,1,1,Portuguese
IWillDominate,442870530,93480,23813,4591,797244,79514,8695968,1,0,English
Nadeshot,440331540,50175,40327,7985,1472104,428800,7844647,1,1,English
buddha,438460680,135090,11971,3184,247303,24901,6326808,1,1,English
Deadlyslob,438143850,119085,104568,3088,315637,130944,6321235,1,0,English
懶貓 (failverde),437353350,184845,14610,2348,169973,29861,13001718,1,0,Chinese
嬌兔 (zrush),436243530,137910,10628,3084,180412,49296,13297850,1,1,Chinese
HoneyMad,434971635,67995,21369,6394,533250,74407,14755893,1,1,Russian
ESAMarathon,433329345,301395,22132,1460,244440,35038,32500708,1,0,English
Nmplol,429213420,63870,24687,6767,455444,130564,8859183,1,0,English
relaxing234,428279160,51180,19194,8405,258402,88247,12225523,1,0,Chinese
Doigby,428267280,59655,93577,6829,1068260,611786,11805401,1,0,French
Sequisha,426325350,163530,19755,2540,252495,86220,7404102,1,1,English
HusKerrs,425044665,107610,39433,3247,361360,288952,6298662,1,0,English
얍얍 (yapyap30),422278350,46800,36933,9306,301033,26768,9798569,1,0,Korean
Elwind,421436625,58965,18270,7165,703464,200170,14369324,1,0,Turkish
Shiphtur,420316860,118410,19688,3414,709343,58604,7906425,1,0,English
BarbarousKing,419187600,188895,13419,2244,159402,42931,4822422,1,1,English
alexelcapo,418413015,72930,74670,5772,680023,211908,13364167,1,0,Spanish
moistcr1tikal,415091820,103170,42135,3977,1166681,724159,7780736,1,0,English
Rush,412717875,86265,15405,4731,542991,120906,7575905,1,0,English
LosPollosTV,411900525,69900,54323,5671,476096,138468,6201733,1,0,English
DreamLeague,411414600,244560,147514,1751,349054,61032,7424007,1,0,English
Voyboy,411274050,80670,21187,4632,1251182,139443,8151140,1,0,English
BastiGHG,410621295,144135,10455,2733,507730,236118,8093220,1,0,German
DatModz,409985220,228615,14288,1753,270720,36757,9812812,1,0,English
dafran,408885990,92565,19611,4319,599036,142689,7944645,1,0,English
yeTz,408478725,87990,21212,4221,849972,281059,10731565,1,0,Portuguese
Aurateur,407829960,163815,15547,2492,142427,26782,4368785,1,1,English
pokelawls,407214675,118335,22496,3352,668807,182123,5999354,1,0,English
ziGueira,407188275,117555,36519,3203,529814,212042,7967420,1,0,Portuguese
A_Seagull,407156655,95160,28779,4193,1028544,55228,7374161,1,1,English
koil,403848390,145035,13421,2791,299033,50231,7743238,1,1,English
PAGO3,402836460,156135,20284,2326,425072,150470,12693893,1,0,Polish
Llobeti4,402468465,112545,37469,3410,648084,606080,9957496,1,0,Spanish
殺梗 (xargon0731),401439255,155325,8406,2549,283232,16999,17013239,1,0,Chinese
itsHafu,400822020,123375,34345,3276,787371,36756,10008765,1,0,English
shongxbong,400635750,50310,94869,7656,845158,671127,4198232,1,0,Arabic
StaysafeTV,399746130,135180,15608,2876,149648,73218,7427189,1,1,English
Loeya,398289900,150495,7955,2635,1233300,337821,19024045,1,0,English
RiotGamesJP,390922410,26325,60682,13675,141684,36105,9101692,1,0,Japanese
btssmash,389890800,362970,94083,1061,216558,81658,6933788,1,0,English
PietSmiet,387717165,84495,39004,4147,576903,122061,11483357,1,0,German
Payo,385755615,137400,12274,2772,175503,112595,11672019,1,0,English
Shotz,385739280,153105,10316,2523,159763,48388,5464553,1,1,English
실프_ (silphtv),385176540,197055,9401,1891,309065,87400,7215989,1,0,Korean
m0xyy,384746505,136095,25387,2431,461534,269311,6207063,1,0,English
LexVeldhuis,380251830,73935,58416,4939,244467,66680,14339774,1,0,English
NateHill,379971075,111555,41610,3311,1055613,449635,14221498,1,0,English
Shaunz,379800060,97860,20861,3791,148568,84393,10605782,1,0,French
Emongg,379682235,155910,21922,2228,504653,156093,5794763,1,0,English
fl0m,379633995,188070,19318,1931,658323,183265,11489901,1,0,English
AsmodaiTV,379345935,132360,11751,2796,247056,30588,6547592,1,0,English
Homyatol,378734925,70725,26274,4826,375749,249186,6981248,1,1,Italian
Grimmmz,377312595,176580,21993,2153,1001739,37734,7803917,1,1,English
aXtLOL,376430955,73815,25340,4991,763886,193266,8969210,1,0,Portuguese
boyMinORu,376358805,142830,22141,2717,367223,73551,17822170,1,1,Thai
just_ns,376209315,93615,37023,3969,341549,66811,12351240,1,0,Russian
BurkeBlack,372767025,171675,4922,2154,276421,13471,5367772,1,1,English
Trick2g,371417130,132945,28917,2650,1476226,115863,8688676,1,1,English
FORMAL,369971310,137190,16518,2391,512592,176173,4803076,1,0,English
Fortnite,369166335,12030,169084,28584,3558217,1163448,21509520,1,0,English
Magic,362552205,43350,114234,5123,365714,50355,18694298,1,0,Spanish
Xari,361741665,80535,28830,4841,269447,147894,5746209,1,0,French
RocketBeansTV,360858030,518415,5223,696,416018,27024,5973152,1,0,German
ANGRYPUG,360278835,184845,9822,1892,366463,48331,4962556,1,1,English
MarcaoRX,359273445,336690,5210,1258,166594,65904,4541683,1,1,Portuguese
yamatonjp,359095725,159420,8247,2269,179920,67794,10882318,1,0,Japanese
btscsgo,357966315,57165,74949,6530,219539,166599,9173781,1,0,English
Skyyart,356907810,111165,32577,2311,598579,239491,8203617,1,0,French
gratis150ml,356697420,198075,9601,1801,741652,129328,12187175,1,0,Portuguese
ShivFPS,355389630,203175,7216,1782,236407,174213,6900666,1,0,English
Ponce,355091505,111360,23255,3043,242969,196880,13687141,1,0,French
Distortion2,354144315,170220,11495,1953,314170,44982,5500067,1,1,English
boxbox,353396640,117720,25314,2717,1717150,145809,9971842,1,0,English
강지 (rkdwl12),353381040,141450,29993,2484,507418,270927,12873339,1,0,Korean
TheKAIRI78,353046060,50310,47081,6795,885915,650990,5134322,1,0,French
RiotGamesRU,352700745,17880,73049,19753,173861,75538,6832561,1,0,Russian
FPSThailand,351025410,158640,38563,2260,390579,74894,18596656,1,0,Thai
김나성 (naseongkim),350120640,215505,7628,1584,103260,20536,8471746,1,0,Korean
오킹 (obm1025),346276365,96000,19328,3563,428179,244442,8920133,1,0,Korean
singsing,346171920,126795,11839,2735,572005,45761,6526670,1,1,English
BlackUFA,345166455,88035,10349,3889,279922,34803,12888906,1,0,Russian
