channel,watch_time,stream_time,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language
QuattroAce,342273825,185715,48810,1696,157620,136490,7245324,1,0,Russian
bateson87,342162660,98730,20204,3344,598678,254821,16648694,1,0,English
Staiy,341874270,91545,15429,3711,259624,90591,5503882,1,0,German
polsatgames,340417455,57870,66706,5695,141026,74586,16290334,1,0,Polish
NymN,340095510,100125,23488,3402,241746,111122,4409296,1,1,English
orangemorange,338213940,122835,18387,2653,261139,85861,9889442,1,0,German
MinosTV_,338084550,167190,24576,2034,204605,192534,5554989,1,1,French
NairoMK,335695215,106200,22074,3054,339545,69474,6132895,1,0,English
철면수심 (109ace),335311860,145425,12180,2202,166726,35165,7631326,1,0,Korean
UnknownxArmy,333869670,92250,41700,3735,850944,836664,11325781,1,0,English
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,1,0,English
bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,1,0,Spanish
Sjow,331726155,149700,8140,2189,240206,21662,3365340,1,0,English
hardgamechannel,331308960,55125,27529,5711,786562,256678,10562872,1,0,Russian
scoped,330160515,63360,47343,5165,731808,728892,8279834,1,1,English
VooDooSh,329448660,137670,7560,2519,85678,66129,9003037,1,1,Russian
WELOVEGAMES,328935150,116520,27956,2761,413458,49713,23682775,1,0,Russian
StereOnline,327697680,400770,4227,785,327645,91352,4620985,1,0,Portuguese
keanelol,327242790,147255,7208,2176,162917,85035,4068823,1,0,English
살인마협회장 (sal_gu),326488155,122925,16252,2663,164092,45255,6226900,1,0,Korean
sips_,325731015,108990,7872,2984,430755,84034,4331397,1,1,English
ESL_CSGOb,325637220,52530,89949,5114,575769,183662,13742820,1,0,English
kyo1984123,325018110,204975,5967,1516,135687,12731,12070678,1,0,Chinese
midbeast,324433515,118005,16153,2652,330060,143256,10000927,1,0,English
Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,1,0,Spanish
Tumblurr,322841490,81210,17165,3846,353687,236441,4008897,1,0,Italian
Veritas,320121405,135150,103833,1595,182492,131913,4176079,1,0,English
daltoosh,319194420,154440,16445,2038,241602,163486,3665065,1,0,English
ELoTRiX,319051995,56310,31194,5620,895851,318247,5587147,1,1,German
TSM_Viss,316437645,117795,18844,2668,762778,101135,7091125,1,0,English
Anthony_Kongphan,316366395,163920,49085,1858,462128,44534,6805829,1,0,English
modestal,316203420,55455,25985,5660,323364,193939,11440074,1,0,Russian
소풍왔니 (yumyumyu77),315613800,66315,24521,4496,309322,46911,13030325,1,0,Korean
XEWER,315398565,189315,17100,1660,455056,215059,6449741,1,0,French
blxckoutz,314656260,152970,18483,2566,482061,402587,8381945,1,0,Portuguese
EASPORTSFIFA,313078095,12165,106126,24395,1287954,427684,11286667,1,0,English
ALOHADANCETV,312898725,70320,18317,4288,555334,92209,12461610,1,1,Russian
연두는말안드뤄 (rudbeckia7),311520135,126300,7111,2478,212053,24606,9675073,1,0,Korean
Flashpoint,311325840,19320,77708,11713,93616,93120,27828448,1,0,English
Steelmage,311218875,178485,10815,1696,60987,37839,7005761,1,0,English
RoyalPhunk,311093010,104565,12141,2934,204451,34597,4921311,1,1,German
Overpow,309892665,153015,10858,2004,254516,29344,9020762,1,1,Polish
NeVeR_LosEs,309559170,82635,9671,3680,200953,23806,10608507,1,0,Chinese
AvoidingThePuddle,309117315,80955,13108,3893,336181,67040,4202354,1,1,English
Ko0416,307823730,200625,5448,1515,108784,12127,11705657,1,1,Chinese
Dota2ruhub2,307331445,55230,54508,5158,248277,71813,13417924,1,0,Russian
Slushpuppy,307001595,150525,118125,1560,122486,85852,5065635,1,0,English
itmeJP,306920835,145950,24603,2079,369273,6134,10677522,1,0,English
JesusAVGN,306076605,78315,43859,3838,682899,181914,13548535,1,0,Russian
tarzaned,306010080,72390,14602,4159,388878,172683,7744943,1,1,English
Mickalow,305967975,157260,37872,1830,864324,260914,8191116,1,0,French
UNLOSTV,304599090,19995,128345,12171,1585519,571237,11452750,1,0,Turkish
resttpowered,304222200,148335,9248,2072,252184,37681,8585834,1,0,Slovak
Felps,303435945,96930,15553,3109,844681,284169,6099521,1,0,Portuguese
Doublelift,301917225,20370,52584,13364,1389835,166536,7617972,1,0,English
쉐리 (kss7749),301790445,115380,12295,2403,170718,19597,7546887,1,0,Korean
Kiwo,299469345,234330,10836,1243,296481,38195,4900030,1,1,English
adolfz,299235990,62520,15928,4926,294217,154653,2743587,1,1,Portuguese
LigaPro1,298828170,232620,11533,1149,30986,29434,60922719,0,0,Other
knekro,298811910,102210,13731,2912,260728,97206,10900480,1,0,Spanish
Savjz,298693050,86205,12708,3401,542892,13967,4072337,1,0,English
BobbyPoffGaming,298668465,224295,6453,1254,125803,81131,2208405,1,0,English
The_Happy_Hob,295999245,106125,8560,2834,216106,38712,4158704,1,1,English
Smurfdomuca,294868035,107055,18282,2843,267948,251923,5976634,1,0,Portuguese
Timmac,294663825,191970,13500,1460,393639,32867,4232938,1,0,English
Nikolarn,293952480,129510,30044,2279,526389,214216,3964166,1,0,English
소우릎 (so_urf),293688270,167895,9665,1756,95477,44040,8120712,1,0,Korean
RiffTrax,293583075,521445,24765,562,79099,17200,3313465,1,0,English
pimpimenta,293014110,164940,20855,1744,828298,254312,12258152,1,0,Portuguese
FACEIT TV (faceittv),292881510,35910,145470,9722,1681615,23166,17259602,1,0,English
crokeyz,292698660,163095,5916,1796,68907,36715,3476636,1,0,English
Letshe,291144945,80745,28808,3073,884661,687813,11561585,1,0,English
SaltyBet,290991045,508140,3467,571,224099,69465,4509671,1,0,English
소니쇼 (sonycast_),290499225,100605,7998,2840,255949,54706,10802748,1,0,Korean
HGmony,290461620,111360,21999,2465,34358,32326,90310969,0,0,Russian
jakenbakeLIVE,289531305,120435,23432,2375,489623,116554,7920696,1,0,English
Syndicate,289369785,58695,22845,4281,3000509,282047,13227099,1,0,English
RakanooLive,289110855,104535,22607,2726,1234662,471456,3836302,1,0,Arabic
공혁준 (rhdgurwns),289103100,76590,40001,3828,289455,67061,12487303,1,0,Korean
limit_maximum,288857850,85905,124818,1886,162040,70116,5965543,1,1,English
ElRichMC,288441015,31155,95938,9062,688715,431071,8120275,1,0,Spanish
guit88man,287764245,140685,7681,1989,144898,25130,8666012,1,1,Russian
RaizQT,286839210,121965,15185,2164,167584,31194,5190502,1,0,English
ReventXz,286819950,84330,47282,3073,362062,219868,8050871,1,0,Spanish
PatoPapao,286740930,100470,11694,2795,656860,116753,8955254,1,0,Portuguese
Replays,285932205,140220,16193,1983,871405,449727,5185473,1,0,English
cdewx,284645955,139140,23448,1904,380159,50596,8015709,1,0,English
亞洲統神 (asiagodtonegg3be0),284354865,63645,18594,4426,494643,22853,11106574,1,0,Chinese
BotezLive,283479405,115845,36278,1985,330772,280964,12851602,1,0,English
Conterstine,283398825,92805,18090,2557,386804,375789,5308302,1,0,Spanish
BeyondTheSummit_PT,282753480,339000,49496,807,203549,60955,9694977,1,0,Portuguese
AlphaCast,281533785,84165,28898,3046,411993,152951,8864009,1,1,French
DownToQuest,281365035,513540,20723,543,82299,53724,3524088,1,1,English
똘똘똘이_ (jungtaejune),280810635,165945,6787,1649,124835,15713,8660860,1,0,Korean
PENTA,280798065,116745,7172,2322,152821,40474,2786097,1,1,English
thedarkness,280707810,155595,7440,1914,536792,138160,7628946,1,0,Portuguese
uhSnow,280296045,88500,8375,3150,134611,43869,3334788,1,1,English
JERICHO,280176915,112860,21935,2401,1191987,66665,7582522,1,0,English
T90Official,279691620,76395,51422,3379,160226,69044,6886631,1,0,English
DanucD,278223765,135030,4439,2045,546052,223147,12048648,1,0,English
DisguisedToast,277695945,20325,38169,9892,1340283,192604,5928269,0,0,English
DesertHeartsRecords,276313155,64620,24264,3620,85097,84304,58418224,0,0,English
Jankos,274889760,45045,18826,5858,573657,271355,9284513,1,0,English
GarenaTW,273964050,12435,85416,22130,401222,21388,7818029,1,0,Chinese
개복어 (dogswellfish),273920670,161235,10929,1601,215413,37690,10626908,1,0,Korean
Sykkuno,272813670,91035,29658,2530,334591,305734,5285377,1,0,English
JokerdTV,271815660,120165,319862,2013,159384,157656,9070954,1,1,English
A1taOda,269877405,140625,11974,1844,537519,67361,10306828,1,0,Russian
livekiss,269518965,517260,7435,520,31323,2447,1641644,1,0,Chinese
Jerma985,269372580,57495,15921,4773,334594,92752,3411872,1,1,English
KamoLRF,269229795,66330,19264,3948,688868,184854,5731570,1,0,German
GoldGlove,268632360,119895,22448,2196,1433703,23684,16902968,1,0,English
harbleu,266439435,65775,13230,3926,349467,112349,3527460,1,0,English
runthefutmarket,265426125,84945,20746,2999,292812,146753,4266359,1,0,English
웁_게임방송 (alenenwooptv),265229580,189900,4290,1418,125615,22295,5390604,1,0,Korean
KarmikKoala,262630950,120450,10587,2205,151920,71165,8619663,1,0,Russian
JustCooman,262612740,76035,10776,3287,159117,89413,7809170,1,0,Russian
IamCristinini,262492530,135240,7943,1906,398634,218848,12690137,1,0,Spanish
Xop0,262276575,235920,4074,1110,94751,50725,18709302,0,0,Russian
Warframe,262160025,13740,346131,12843,1254031,282680,5405191,1,0,English
Smoke,261617925,100050,25500,2331,166007,53212,2955403,1,0,English
Moondye7,261610875,97350,22231,2530,306920,39732,6839587,1,0,German
jean_mago,261252810,113445,11418,2012,342691,269837,7609872,1,0,Portuguese
mL7support,260845395,115380,9038,2124,342850,140872,5387428,1,0,English
KriszhAdvice,258011790,147675,28709,1593,284899,97984,6927865,1,0,Hungarian
QuickyBaby,255820995,118710,11077,2207,416329,45998,5642381,1,0,English
aDrive,255087615,101085,14637,1692,461081,117274,3858228,1,0,English
Ampeterby7,254852265,27480,43882,9301,1194476,1185647,6513197,0,0,Spanish
KabajiOW,254772135,72240,13865,3252,369667,87338,4098475,1,1,English
SNEUX,254717640,57510,30067,3748,196635,155555,4540889,1,0,Spanish
TrU3Ta1ent,254345355,113745,10901,2204,595939,101235,6614948,1,0,English
OgamingSC2,253498875,484455,11457,547,105368,11075,15776556,1,0,French
머독 (ajehr),252452325,76575,11117,3292,362794,86655,5623906,1,0,Korean
cyr,252345645,146190,19267,1678,182107,49771,4106827,1,1,English
MrSavage,251627985,33030,31525,6883,1651212,734583,9931629,1,0,English
Perxitaa,251497200,30330,55418,8010,689582,669977,7036771,1,0,Spanish
IlloJuan,251067885,60495,24315,4087,275174,178705,5676686,1,0,Spanish
masondota2,250624350,83205,8377,2882,104526,39906,3406472,1,0,English
Annoying,250297065,64290,17361,3884,431285,158587,1799471,1,0,English
고차비 (kumikomii),249821475,152370,5227,1615,177741,62122,5979126,1,0,Korean
Manyrin,249488880,109125,17140,2284,449520,146381,11128490,1,0,Russian
1DrakoNz,249476295,99180,15242,2655,373375,252999,6950267,1,1,Portuguese
Pace22,247862850,156975,10350,1524,171871,112723,3080537,1,1,English
Rammus53,247730100,104520,16370,2217,978645,332303,11041262,1,1,Turkish
SaltyTeemo,247613265,517980,1803,476,173196,36103,2117741,0,0,English
Odablock,247535550,101595,29397,2336,131966,92477,4228405,1,0,English
MckyTV,247481385,65025,49791,3599,722041,256660,9947455,1,0,German
Calebhart42,246974370,124830,6763,1808,177595,13410,2533119,1,0,English
MacieJay,246761880,107805,7318,2249,835787,195140,5353692,1,0,English
R6esportsBR,246712590,47100,60386,4021,323856,98848,5855733,1,0,Portuguese
chistor_,246342825,128430,7099,1838,89608,30354,5658271,1,0,Russian
Kephrii,245934495,165135,8709,1297,559647,102990,5923710,1,0,English
FEDMYSTER,245399790,24945,35011,9086,609723,284967,5176805,1,0,English
Gosu,244854375,64590,16362,3502,1751290,185952,9377658,1,0,English
supertf,244635645,90585,9118,2526,196136,139939,3551440,1,0,English
MoMaN,244502235,145755,16550,1363,360418,120693,8390437,1,1,French
Kotton,244412715,73005,58818,2757,253065,80920,4459178,1,1,English
saintvicious,244262295,168030,5370,1422,247236,44436,3133396,1,0,English
winstrike_tv,243711495,19695,153252,12058,148183,148055,8767404,1,0,Russian
pijack11,243578730,148140,8181,1569,252717,144993,6752832,1,1,Portuguese
pqueen,243465255,88965,11976,2602,485787,328149,8544093,1,0,Turkish
Northernlion,242833140,60855,9312,3968,359260,22629,3384340,1,0,English
Nattank,241616550,144480,8770,1537,86544,67207,8232442,1,1,Portuguese
bmkibler,241615470,103230,15034,2247,475075,23971,5087052,1,0,English
Arteezy,240834885,12285,31009,19681,634982,99726,3776042,1,1,English
선바 (sunbaking),240663180,86235,8260,2762,251416,98720,3298202,1,0,Korean
flamuu,239018790,126915,5242,1851,117425,36301,3225407,1,1,English
Mixwell,238993935,52905,23552,4219,331208,271798,6539837,1,0,Spanish
AntoineDanielLive,238217145,54870,16671,3964,416920,272263,6778234,1,0,French
G4G_REVENANT,237767160,82110,14376,2947,284620,69353,6608568,1,0,Spanish
maxim,236707830,71685,21262,3173,312566,129119,5439874,1,1,German
양띵 (yd0821),236218920,28275,38412,8075,279864,56233,1901665,1,0,Korean
c9judite,235689105,364425,8210,644,105341,84754,7982996,1,0,Portuguese
WOKE,235303170,51600,50598,3827,107484,105725,3460437,1,1,English
Amaz,235255500,84525,12652,2764,915023,-5405,4237993,1,0,English
ESL_SC2,234726075,278745,40072,1414,305311,36130,5674624,1,0,English
CooLifeGame,234307740,47010,15459,4415,395859,167356,5764214,1,0,Spanish
BruceGrannec,234104805,78270,11287,3011,463188,95268,5973378,1,0,French
CuteDog_,234058290,207090,7016,1104,113658,22074,3489772,1,1,English
大丸 (wtf_winds123),233395950,92775,11975,2410,259338,32952,9883708,1,0,Chinese
theRealShooKon3,233210205,166260,6148,1333,126282,37207,2944974,1,1,English
Albralelie,232815960,128580,18730,1668,240030,216977,5392597,1,0,English
룩삼 (looksam),232224165,75030,32222,3302,285474,14351,7901792,1,0,Korean
GTimeTV,232140015,187335,14110,1022,665021,155419,5838039,1,1,German
WagamamaTV,231985905,178470,7377,1268,312799,20933,3880798,1,0,English
sleepy,231452460,107280,8855,2103,317125,254462,3295029,1,0,English
FifaTargrean,231025755,170820,6721,1353,396862,66121,7798628,1,0,Thai
GrandPOObear,231011760,101175,13295,2230,253619,44926,3877237,1,1,English
Pun1shers_TV,230552955,123345,6289,1961,82289,51159,4148542,1,0,Greek
gamelifeow,229805670,99600,37939,1659,234471,169229,8373012,1,0,Russian
Sh4dowehhh,229762950,112875,11788,2012,84234,70619,6477747,1,0,Russian
LuluLuvely,229749045,107070,10110,2178,431852,360592,6019198,1,0,English
Swifty,229431480,122160,19884,1572,615027,71011,8647522,1,0,English
Mibrtv,228640020,82620,151094,3310,250709,242229,6671227,1,0,Portuguese
PsheroTV,228376905,184215,10739,1166,202779,59927,5384623,1,1,English
bytarifaaa,228077640,15390,121009,13435,638657,629175,3651549,1,0,Spanish
Alderiate,227675805,69030,11480,3337,319860,80730,5471250,1,0,French
Solaaaa,227479455,96375,16718,2227,309594,107558,5135340,1,0,German
Strippin,227458650,121575,9127,1816,293665,19904,3115313,1,0,English
Mendo,226473345,99480,25321,1959,518090,176007,5487693,1,1,English
Pikabooirl,225939795,103740,21309,2146,237214,78399,5574448,1,0,English
Skadoodle,225401640,89955,30357,2318,611890,219104,5373229,1,1,English
MasterSnakou,225243465,124275,12948,1786,448316,73137,6565757,1,0,French
루시아 (lucia94),224762820,141705,8886,1603,82578,37026,5801449,1,0,Korean
Otzdarva,222546390,91905,14940,2387,262104,146762,3176930,1,0,English
꽃핀 (cherrypach),222377040,94125,10985,2369,240835,90457,6606649,1,0,Korean
Opat04,222161730,116775,9497,1814,178477,109720,6632006,1,0,Czech
icebergdoto,221837100,52380,16441,3746,171113,84551,6944929,1,0,Russian
P4wnyhof,221823735,181830,7196,1205,489174,6719,6891131,1,0,German
Mazarin1k,220905615,202410,9605,780,205378,68292,9980766,1,0,Czech
김뚜띠_ (kimdduddi),219998175,90750,7244,2318,149158,67954,3549865,1,0,Korean
옥냥이 (rooftopcat99),218888325,92805,8794,2256,214028,59213,5969221,1,0,Korean
KingGothalion,218707740,34875,41994,5792,1015521,44907,3349456,1,0,English
ItsSlikeR,218576850,95655,12762,2317,283503,154360,5243404,1,1,English
Alinity,218509065,90150,17341,2441,1203324,255987,13908506,1,0,English
TidesofTime,218415420,88485,12457,2104,251700,27110,2240586,1,0,English
GernaderJake,218318010,146295,21162,1347,295771,70693,8847646,1,0,English
スタンミ (sutanmi),217833015,80190,7854,2683,53124,16505,3473483,1,0,Japanese
DarioMocciaTwitch,217475940,103995,8160,1749,114376,96707,4356099,1,0,Italian
bebe872,217343400,212205,4965,1087,70232,51251,2383295,1,0,English
Lasqa,216969405,72210,10010,2863,135446,25351,5298356,1,1,Russian
六希夫 (qttsix),216951540,154035,9671,1412,118305,23620,8174656,1,0,Chinese
Flight23white,216792240,31455,74388,7522,828896,704583,2016920,1,0,English
Heelmike,216316170,101400,18963,2115,308927,208795,3406743,1,1,English
OGADotaPIT,216072855,18705,60846,10161,157820,48664,8333671,1,0,English
SoloRenektonOnly,215806260,122985,5118,1735,391603,74554,4581141,1,0,English
OfficialAndyPyro,215726910,209625,9676,1027,255595,29422,10284627,1,1,Finnish
k3soju,215233395,125865,7504,1647,76666,70939,2609837,1,0,English
SkyrrozTV,215122605,85890,17061,2185,597890,216436,6233611,1,0,French
LeBouseuh,214699305,61455,24497,3678,988237,351530,4545514,1,0,French
BikeMan,214504440,136845,7223,1486,264192,11101,3531376,1,1,English
Rubini,214130175,161985,5521,1284,102528,43426,7976244,1,1,Portuguese
JLWaliid,213819030,94875,19603,2239,272391,246417,4345817,1,0,French
qSnake,212541900,152955,5441,1389,200878,37641,6296155,1,0,Russian
Criken,212449905,113040,11050,1828,285509,32753,3593487,1,1,English
Loserfruit,212318190,99525,42374,1816,1869993,790345,10477877,1,0,English
Broxah,212141310,46605,13137,4269,317896,209200,5351294,1,0,English
JonVlogs,212114490,81180,21617,2239,480299,261559,3260166,1,0,Portuguese
ImSoFresh,211617645,180060,5788,1119,111954,36095,3673955,1,0,French
BeBePtv,211307910,110010,14353,1865,57205,24674,63847323,1,0,Russian
TrilluXe,210899220,79170,27943,2095,412495,95629,7212835,1,0,German
landonorris,209499930,30120,97550,6524,584831,457635,12694726,1,0,English
LotharHS,208564530,152235,14561,898,251812,136198,6742783,1,0,Polish
ElcanaldeJoaco,208060515,20445,48072,8673,810622,758797,4893535,1,1,Spanish
CzechCloud,207938580,145050,8212,978,180668,111145,9000160,1,0,Czech
chess24,207560115,82035,32856,1603,66198,49745,20337169,1,0,English
TheNo1Alex,206694345,176910,8554,1105,140855,30883,7225371,1,0,English
Crystal_LoL,206487075,139725,7471,1466,167132,98846,5571500,1,0,Turkish
WeAreTheVR,206446935,75975,20851,2688,410814,85526,9512134,1,1,Hungarian
AdzTV,206255820,137250,11247,1443,489577,167548,4236933,1,0,French
IrmanPlay,205792560,42570,17697,2612,252042,232876,3312084,0,0,Russian
Tomato,205792050,76080,5358,2675,92634,36010,2200922,1,1,English
쫀득이_ (pjs9073),205748130,79215,15654,2597,193757,115990,5979215,1,0,Korean
runitup247,205746015,486000,1182,422,91608,30397,2424188,1,0,English
NeZaK_,205442370,134205,7262,1407,255840,207722,3017013,1,0,Italian
피닉스박1 (xkwhd),205225605,179595,9938,1139,142209,50675,4794915,1,0,Korean
skill4ltu,205017270,135510,4049,1503,127741,46398,4548052,1,1,English
ilMasseo,204889125,92370,8980,2184,617665,436741,4364008,1,0,Italian
Worrun_,204440715,94455,41881,1728,146163,103762,3425022,1,1,English
brax,204330900,26010,28736,5295,574927,282648,4449212,1,0,English
rewinside,204116820,48420,24167,4455,1259972,372220,5349508,1,0,German
금사향 (sah_yang),204029970,125325,7143,1559,206794,108366,7584329,1,0,Korean
HAchubby,203908095,73110,13675,2779,221461,159519,5075885,1,0,English
Recrent,203854050,129375,6781,1502,220789,120204,8936320,1,0,Russian
iLame,203117655,161025,4911,1243,233263,66490,9831952,1,1,Russian
ixxYjYxxi,203102445,37305,15223,5459,857099,409932,2378245,1,0,Arabic
Wingsofdeath,202858185,144150,7176,1343,473157,6267,2534023,1,0,English
mang0,202842615,140325,24391,1403,328671,53694,3077795,1,1,English
Kamikatze,202635300,126900,8509,1586,107476,36955,4997073,1,0,German
Philza,202591425,62925,24611,2991,527540,292543,5158370,1,0,English
Kurumx,202487955,131190,16413,1543,50286,49439,2485867,1,0,English
Pieface23,201823125,93360,14072,2149,238155,127444,2037389,1,0,English
CurtisRyan,201233880,162660,7245,1205,65688,33141,3760730,1,1,English
CalebDMTG,200582400,121635,5446,1608,71327,9005,1563033,1,0,English
MarkiLokurasY,200552295,71070,26329,2714,923377,417223,7000112,1,0,Spanish
JLBichouu,200256675,90720,16461,2039,212578,150452,4001304,1,0,French
나나양 (nanayango3o),199960005,122025,6411,1589,147351,63332,4789098,1,0,Korean
DavyJones,199829100,48375,44526,4111,955846,454965,10940319,1,0,Portuguese
Fairlight_Excalibur,199826220,163650,19156,1208,408958,5162,1645770,1,0,English
PG_Esports,199821495,107715,24734,1933,112874,41935,16923320,1,0,Italian
StreamerHouse,199501650,496545,12609,402,630255,10659,2800864,1,0,English
Peereira7,198252765,133800,14532,1377,377689,361206,6222094,1,1,Spanish
Twitch,198083340,12015,130795,9190,1189614,223168,46395022,1,0,English
Sev7n,197315655,183630,31836,1037,469944,225963,7453572,1,0,Portuguese
Wardiii,196743645,104280,9459,1670,76777,31905,3970743,1,0,English
자동 (tranth),196585155,142260,5451,1402,85764,11733,5114165,1,0,Korean
Kubon_,195943620,145845,9545,1323,267984,25721,6142647,1,0,Polish
KarasMai,195800370,138300,6728,1374,281664,139915,3975842,1,0,English
Sloot,195525465,207555,21283,937,205002,23506,4415937,1,0,English
LPMassive,195448335,81270,18813,2181,315264,22874,2409670,1,0,German
羅傑 (roger9527),195398655,34620,12707,5401,131484,22369,4197860,1,0,Chinese
ChicaLive,195344370,92445,14928,2045,1041932,631422,2776587,1,0,English
도현_ (d_obby),195270330,129525,16860,1401,195405,153300,5913454,1,0,Korean
Valkia,194961090,106335,23519,1008,308459,146451,8091070,1,0,English
caps,194376465,17865,26754,10170,479368,270611,6373471,1,0,English
龜狗 (gueigotv),194262165,134895,9918,1373,165232,25466,6005834,1,1,Chinese
Alfie,194074230,181755,15588,971,183885,33462,3380440,1,0,English
NiceWigg,193912155,130140,13013,1475,184033,111498,2871081,1,0,English
zEkO,193867860,44970,21313,4440,743040,370683,5338943,1,1,Spanish
x6FlipiN,193573740,61095,19304,2712,279204,186655,6462906,1,1,Spanish
JASONR,193460805,188205,33902,992,777611,136800,6183865,1,0,English
Dhalucard,192609885,83400,22306,1828,269408,97678,7444967,1,0,German
duckmanzch,192428310,129945,14684,1363,122694,75228,9240202,1,0,Thai
MrBboy45,191523465,110835,9408,1659,318995,57504,6445684,1,0,French
인간젤리 (ses836),190448565,157200,7683,1213,105730,29332,5099767,1,0,Korean
AladdinTV,189890160,131490,4279,1416,110211,45168,4298260,1,0,German
miniminter,189756300,41400,27188,4215,858427,588461,16598800,1,0,English
ClintStevens,189206565,40125,15223,4445,393432,102753,2303521,1,0,English
NoctisAK47,189081300,171270,7264,1052,73584,41176,6381664,1,1,Thai
Daxak,188764350,84855,7721,2061,116897,64239,5857325,1,0,Russian
ThaldrinLol,188750280,112095,11305,1671,521166,95126,7822019,1,0,Turkish
olyashaa,187722975,77730,9142,2296,559877,138621,14210392,1,0,Russian
Jay3,187658970,165585,9514,1111,189654,124100,3079327,1,0,English
SovietWomble,187497450,63360,9616,2900,1368076,214775,5846971,1,1,English
GodHunt,187099860,94590,19032,1820,202883,30738,7464390,1,0,Russian
Everyeyeit,187019640,133125,18421,1236,86590,42213,52155951,1,0,Italian
Speedrun,186800430,500010,16604,375,93358,51098,13863239,1,0,English
iamSometimes,186597300,102870,23238,2004,179552,99162,4766495,1,0,Thai
Broeki1,186562710,141675,13091,1317,150944,25995,4702541,1,1,German
hexy,186060390,90495,14020,2092,336093,20006,2855592,1,0,English
Etoiles,185982570,78165,45364,2090,220873,167386,6466352,1,0,French
xChocoBars,185905980,96300,37216,1917,583881,107350,8679867,1,0,English
GN_GG,185795730,108075,4859,1715,91514,14734,3333965,1,0,Russian
SheriffEli,185394810,143400,5988,1291,265814,11832,2355559,1,1,English
iateyourpie,184820460,181335,10962,987,124020,7942,4878552,1,0,English
KYR_SP33DY,184233300,95055,6607,1879,706212,66637,2451110,1,0,English
armateam,183066645,379680,3181,479,187315,8680,3569807,1,0,French
JeelTV,182390235,99870,7302,1768,357385,276765,6668409,1,0,French
Pengu,182358345,70665,7707,2452,775987,241309,5240516,1,1,English
태준이 (dlxowns45),182309400,79620,10549,2023,346631,124060,5444952,1,0,Korean
gabepeixe,181929585,101730,5955,1788,149362,25034,2795325,1,1,Portuguese
TSM_TheOddOne,181908120,188445,4363,913,864087,-15772,6370949,1,0,English
luke4316live,181729410,307005,2757,636,168531,36988,4795414,1,0,Italian
VGBootCamp,181431360,77085,97791,1534,521938,24798,5491154,1,0,English
CapcomFighters,181252125,23850,84858,5684,348447,20205,12878708,1,0,English
