channel,watch_time,stream_time,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language
Datto,181075290,71400,82047,2122,530822,89739,4566171,1,1,English
NeverSayYesTwitch,180978855,115455,10771,1357,194933,176218,3381154,1,0,French
BeatportOfficial,180850230,27765,48457,5300,126546,124653,36484452,1,0,English
포셔 (portialyn),180674100,128385,4498,1349,39485,29698,2460689,1,0,Korean
케인 (kanetv8),180360300,130365,10087,1313,141167,52606,7004305,1,0,Korean
Sanchovies,180166830,141225,15588,1250,154845,145102,3924344,1,0,English
GhostFreak66,179939730,107295,94791,1029,111646,89879,2471382,1,1,English
RTAinJapan,179880525,16155,42822,8383,71730,44766,2700751,1,0,Japanese
WankilStudio,179581950,17235,28866,10173,726730,274734,5141210,1,0,French
SLAKUN10,179262330,9555,48358,18906,1874932,1874846,5835029,1,0,Spanish
Monkeynews,179083095,154965,72483,1288,80290,54112,4978021,1,1,English
forever,178945815,29625,53702,5300,373484,360874,2863254,1,0,Portuguese
AlpTV,178729455,38625,33059,2913,576276,257474,6685553,1,0,Turkish
Crocodyle_lol,178727670,96000,8810,1802,107835,77142,3657348,1,1,French
WARDELL,178718460,127155,16215,1394,306435,288200,5304936,1,1,English
Tiagovski555YT,178563045,76065,11245,2061,220585,130719,5057048,1,0,Portuguese
Altair,178537155,145605,3702,1183,42265,19448,2779740,1,1,French
NiteNightKid,178419030,149040,29228,1127,28818,11998,1450208,1,1,English
fuslie,178245645,67560,45247,2504,336394,116757,7152158,1,0,English
Tyceno,177947595,42825,40407,4015,297359,250536,1623230,1,1,English
Faux,177800325,151170,15167,1133,237909,29301,3248586,1,0,English
RiotGamesTurkish,177746055,23835,36258,7414,651994,49244,9998277,1,0,Turkish
makataO,177510525,182775,12292,910,391656,137135,7336811,1,0,Russian
Drjayfisto,177159195,155340,4092,1105,130341,41353,6201998,1,1,English
CarTmaNzbs,176608230,96615,7809,1793,386948,65268,13183429,1,0,Russian
Th3Antonio,176072760,62175,13955,2419,223756,87872,5222867,1,0,Spanish
BigEx,176005440,96870,21401,1569,256448,138235,1947938,1,0,English
BigSpinCR,175255470,92970,21815,1824,185784,81726,2995202,1,0,German
Maghla,175236000,77505,16695,2124,329065,234216,6831650,1,1,French
Becca,174842160,115200,11405,1500,357844,56356,4198030,1,0,English
SirhcEz,174824130,133410,5928,1279,579629,34334,3081725,1,0,English
twlevewinsHS,174228915,102900,5425,1711,38410,31257,1353428,1,0,English
코렛트 (collet11),174087030,136065,6144,1248,215304,73181,5543661,1,0,Korean
Zombie_Barricades,173823135,228765,4497,735,172386,60031,2219053,1,1,English
NBA2KLeague,173779995,28245,48495,4264,143535,42942,67586924,1,0,English
XBOCT,173672880,35970,20110,4473,318230,78529,5635774,1,0,Russian
shtan_udachi,173627565,87210,7220,1929,100852,22524,3970603,1,0,Russian
orslok,173607810,52005,21759,3082,327888,269085,5048873,1,0,Spanish
BRNWOWZK1,173484990,365670,6981,465,173713,87295,5330221,1,1,Portuguese
HellYeahPlay,173443275,103830,3946,1706,136885,31088,5014047,1,0,Russian
홍방장 (game2eye),173015430,96045,5698,1669,183891,22221,5266599,1,0,Korean
grafo,172499415,111105,7165,1544,414577,173024,5627155,1,0,Spanish
xTheSolutionTV,172316145,78030,16093,2027,320629,103800,2778565,1,0,German
Igromania,172086390,186960,6159,939,184078,13710,115312954,1,0,Russian
Back2Warcraft,171822405,93345,8309,1697,94929,21267,4016790,1,0,German
超負荷 (sam1268),171602475,35805,11861,4538,148702,20433,5691145,1,1,Chinese
10000DAYS,171293220,131565,11193,1255,356683,158473,10528149,1,0,Turkish
iProMx,171223080,36000,8874,4576,151788,80190,1637792,1,0,French
짬타수아 (zzamtiger0310),171115545,90345,6217,1876,185684,46791,6693148,1,0,Korean
GingiTV,171013470,89805,6450,1713,156597,45047,5117439,1,0,English
venruki,170464680,133110,13179,1264,292558,44449,7127552,1,0,English
Pimpeano,170116395,21420,38592,6469,740343,665323,3744461,1,1,Spanish
MatteoHS,169885590,141525,5827,1176,428553,221153,4537952,1,0,Italian
nugiyen,169858440,159135,8448,996,121984,22377,3448935,1,0,English
HighDistortion,169501845,105630,20179,1397,1677690,61126,5125402,1,0,English
LuquEt4,169456620,153855,4958,1081,74404,45202,2807619,1,1,Portuguese
THump,169365870,92055,8063,1885,250786,115028,2168664,1,1,English
MaTaFe_,169215480,153525,8535,1096,116653,106957,4182011,1,1,English
rxnexus,169026750,112095,6765,1475,255944,23213,5862326,1,0,Russian
VaporaDark,168943005,70650,5041,2338,101359,22193,7610128,1,0,English
PaymoneyWubby,168861240,30600,16622,5485,302419,126399,2668187,1,0,English
RTGameCrowd,168832200,38685,20354,4259,861594,308499,3736356,1,0,English
다주 (dda_ju),168767490,108690,9137,1466,205041,52071,3755880,1,0,Korean
Bawkbasoup,168736395,130215,7853,1259,94820,27795,2313340,1,1,English
견자희 (wkgml),168416325,76140,10656,2210,415795,150813,6013389,1,0,Korean
Werlyb,168339975,57105,37980,2399,204348,146852,5349362,1,0,Spanish
TSM_Hamlinz,167898480,11055,51989,15483,2137521,126150,2268382,1,0,English
DougisRaw,167875230,153960,22641,1076,127151,74509,2149900,1,1,English
Mmorpg,167774640,182925,4994,908,235167,19566,3055373,1,0,English
BreaK,167534355,115560,9531,1432,309300,18289,3880016,1,1,English
berkriptepe,167325930,32790,24573,4103,622358,281667,5508199,1,0,Turkish
Xposed,167309220,111240,8580,1475,266853,147449,2220313,1,1,English
무굴 (moogrr1211),167186250,188805,2008,879,37162,10214,3006979,1,0,Korean
BoarControlHS,166892040,153345,3622,1064,79204,39363,2852825,1,0,English
Dementardo,166850715,35445,15476,4663,547154,465321,2419659,1,0,Spanish
CrReaM,166587645,142350,8098,1150,165906,6207,1614843,1,1,English
Xiuder_,166422960,172080,13675,909,312280,298759,3022408,1,0,Italian
SmallAnt,166352115,96720,11518,1821,255156,218287,2695198,1,0,English
Naowh,165590085,120435,11693,1333,103636,48833,5069397,1,0,English
Tonton,165536760,133530,9738,1237,147542,76656,3954958,1,0,French
逼比 (bebelolz),165015915,64650,7592,2488,260119,26670,6966348,1,0,Chinese
踢虧 (takesipon),164981160,111600,8103,1534,57634,11867,3983662,1,0,Chinese
Vargskelethor,164759730,58395,6577,2809,287063,60041,2147906,1,1,English
핑맨 (95pingman),164673495,47430,26738,3449,195423,97696,3424139,1,0,Korean
LobosJr,163736505,121335,12709,1332,375646,27173,3970888,1,1,English
ZONY,163669320,147990,7172,1118,260125,140806,3739750,1,0,Polish
Monstercat,163589370,519675,14261,313,788684,22331,4084222,1,0,English
k1ng,163381335,36540,52558,4365,706537,614383,6210317,1,0,Spanish
DuelLinksMeta,163307010,89910,5792,1886,88697,33306,6092699,1,0,English
Esports_Alliance,163208925,37110,27040,4293,117084,55445,8254877,1,0,Thai
lolesportsla,163132800,40950,37187,4586,186208,71514,5283711,1,0,Spanish
Vovo,162887760,150555,7268,974,141898,92033,3786059,1,1,Portuguese
goncho,162817050,61770,18091,2431,442412,236558,6156791,1,1,Spanish
MenosTrece,162738420,107700,7132,1481,470873,190155,5465173,1,0,Spanish
swimstrim,162723510,108540,13314,1383,137885,62796,2964244,1,0,English
AnneMunition,162714930,99345,37236,1586,621921,65910,10222790,1,0,English
Reverse2k,162618315,181665,14160,925,380488,155158,3906784,1,0,English
erobb221,162559230,82470,10391,2028,244207,88737,2352357,1,0,English
voicetv,162510660,514845,1874,314,3660,1328,4001475,1,0,Thai
FFearFFul,162232935,36165,116245,5305,727059,492841,2041776,1,0,Arabic
Cryaotic,162138405,85785,7169,1727,813371,24644,2326058,1,1,English
Dmitry_Lixxx,161818335,51600,26715,3006,347824,332931,8549523,1,0,Russian
Sweatcicle,161489220,137880,14550,1023,160000,120954,2372907,1,1,English
tebtv,161468685,69315,13639,2177,76050,59909,10310607,1,0,English
_연두부_ (lovelyyeon),161371665,140535,4282,1115,108382,74892,5389852,1,0,Korean
pankylol,161208750,51015,17394,3141,284563,166114,7887006,1,0,Turkish
Alkaizerx,161185890,103950,12430,1312,153870,21706,3152805,1,1,English
hastad,160672260,85545,10888,1812,868738,188163,4991368,1,0,Portuguese
미라지 (mirage720),160163880,94005,30706,1638,352412,122225,5107789,1,0,Korean
Tanxlive,159875505,161010,6899,971,244133,40087,7067999,1,1,Thai
Rogue,159761910,121005,7289,1186,169330,147217,2431075,1,0,English
easywithaces,159655155,107910,18686,1388,90359,35096,3279762,1,1,English
BeyondTheSummit_PT2,159647175,104955,126254,796,178612,137968,4834852,1,0,Portuguese
CarritosKami,159557775,104955,14634,1681,165439,67444,6694660,1,0,Spanish
dizzy,159505395,49125,19262,2997,795869,122263,4572893,1,1,English
EAMaddenNFL,159449055,19995,57179,5697,241924,72319,5152605,1,0,English
TobiasFate,159172080,127740,4681,1233,701822,49134,5210466,1,0,English
PUBG,159140235,32865,35922,4647,733628,78929,4783744,1,0,English
BananaSlamJamma,159071145,113595,5152,1263,170181,23267,2546439,1,1,English
Dyrus,158999070,138300,11338,1123,1474090,111,3724340,1,1,English
Mushway,158995065,56820,9611,2638,310100,233686,3178181,1,0,French
bazattak007,158951265,87330,11217,1630,391413,322355,4835861,1,0,Spanish
IFrostBolt,158035530,169260,6210,897,199618,106749,2723926,1,0,English
Kandyland,157882170,86745,9203,1748,405554,202294,11207571,1,1,English
감블러 (9ambler),157852620,89715,11279,1692,144116,77889,3731059,1,0,Korean
Sco,157847640,57690,15241,1790,375911,32463,10361325,1,0,English
ProfessorBroman,157325925,154635,12676,955,732192,22714,3579571,1,1,English
Paoloidolo,156901800,125115,7659,1205,183900,57927,4585217,1,0,Italian
1PVCS,156821940,53835,23081,2256,71596,31807,8056327,1,0,French
강퀴 (kangqui),156544635,112755,10809,1400,57130,18133,3877756,1,0,Korean
AkTep,156236730,94545,6300,1541,222796,51862,4273193,1,1,Russian
햇살살 (hatsalsal),156211005,119040,3915,1302,77861,25730,5576914,1,0,Korean
PardonMyTake,156004485,25140,141406,6728,143916,143806,3300371,1,0,English
Sweet_Anita,155731920,57600,21594,2690,972070,510063,7927278,1,1,English
Draineo,155593140,124095,7777,1169,102225,65702,175788,1,0,English
Cerbero_Podcast,155187570,57120,19298,2647,179420,132867,4071398,1,0,Italian
cellinrj,154982550,87945,7136,1711,245715,122045,3621969,1,1,Portuguese
SkyshockTV,154727730,94275,6213,1605,114154,32991,3059244,1,0,Spanish
Evangelion0,154595850,85635,8533,1777,120494,28322,3446723,1,0,Spanish
AnthonyZ,154524165,117735,7416,1216,199617,23303,2812219,1,0,English
mokrivskyi,154332060,27105,29983,5864,308815,304008,8255635,0,0,Russian
CaMaK,154277370,87375,9437,1759,151886,7578,3019137,1,1,French
Uthenera,154125945,77475,9460,2106,411346,99872,4832180,1,0,Turkish
Corobizar,153988380,83325,11200,1787,272635,84933,4345590,1,0,French
roflgator,153963765,110910,14329,1281,106365,46487,1449834,1,1,English
QuarterJade,153857655,61980,12144,2286,277256,167202,3921702,1,0,English
kutcherlol,153784695,138060,6802,1093,198818,36059,5070320,1,0,German
DieHahn,152767545,125025,8048,1229,231584,44782,3418935,1,1,German
chowh1,152754465,143415,8221,980,113551,84231,4175567,1,1,French
cacho01,152494320,54645,18552,2669,269080,250197,2516244,1,0,Spanish
natalan,152469705,60510,9561,2240,529357,462674,2737155,1,1,Spanish
DreamHackDota2_RU,152461155,6135,98717,22356,203419,30231,3637232,1,0,Russian
DuendePablo,152343585,133290,10121,1101,514073,118567,4216188,1,0,Spanish
小夜夜 (albislol),152033250,208485,3740,706,146276,10939,4554443,1,1,Chinese
UCCleague,152021685,131070,14003,1378,226974,46807,9915656,1,0,Russian
貝克 (slrabbit99),151739370,112845,5944,1329,106235,2495,4838617,1,1,Chinese
Stewie2K,151271895,24735,27416,5296,875087,289867,5771575,1,1,English
jorbs,151128345,117795,4084,1243,70609,20603,1410877,1,0,English
BlackFIreIce,150698280,139980,3044,1070,108895,6130,4424196,1,0,Polish
kurt0411,150579045,37710,26941,4083,142446,114789,2221662,1,0,English
Herdyn,150266550,123060,4254,1180,410224,91098,5639711,1,1,Czech
Frankkaster,150181140,30975,49127,4886,826222,356711,5878239,1,1,Spanish
SayNoToRage,150150330,137820,8014,1010,168463,17619,1552234,1,0,English
MiltonTPike1,149975130,81960,8838,1845,200012,25768,2185519,1,0,English
H0llyLP,149766195,130860,4958,1116,151000,11875,3846703,1,1,German
MarkitoNavaja,149407365,28410,26584,5070,665430,641813,3159593,1,0,Spanish
RobertoCein,149162865,114120,15249,1270,730326,422842,2907888,1,1,Spanish
KVYZEE,149052375,161580,8354,849,127963,74894,6715483,1,0,Russian
MarketTradersTV,148900110,499215,1357,297,30413,12081,981536,1,0,English
Flambass,148717500,130395,5507,1138,71953,26918,2319131,1,1,English
Aa9skillz,148596180,49035,11843,2885,502696,142789,2373012,1,0,English
Limmy,148371105,90600,6575,1641,207508,136263,2433739,1,1,English
SparkofPhoenixTV,148192215,92400,15792,1462,433078,195208,3537808,1,0,German
kyliebitkin,147948870,127485,6688,1142,85336,25720,2468122,1,1,English
CoconutB,147918285,122565,4596,1171,188378,62459,2691775,1,1,English
FanHOTS,147664290,134550,2104,1090,64587,27948,2451118,1,0,English
Pelegrino1993,147243720,129210,6236,1074,80566,64799,1772816,1,0,Portuguese
Killars,146865810,210810,4232,642,46971,15728,1747381,1,0,English
Weak3n,146770110,115470,2922,1260,188176,30028,4780580,1,0,English
Tourva,146412075,116070,5067,1185,287553,182413,7888629,1,1,English
wintergaming,146245920,195615,7019,719,260779,13900,3609065,1,0,English
Vicens,146199795,26115,30628,5739,730679,724245,4110592,1,0,Spanish
PainLivestream,145610160,89775,15002,1635,435872,81619,2283772,1,1,German
monkeys_forever,145475145,80460,6738,1563,79270,34329,2106144,1,0,English
Kaydop,145291695,64830,23304,2268,193058,117412,3185925,1,0,French
しゃるる (syaruru3),145193595,103995,3710,1309,33726,9684,3022192,1,0,Japanese
primeleague,144858945,30510,19013,4427,73409,71211,5606593,1,0,German
LRojo_,144763395,111435,11178,1192,100767,82320,3959878,1,0,Spanish
trihex,144608640,121515,21721,1157,431935,29678,5777172,1,1,English
Spaceboy,144599880,123015,10590,1107,135311,27050,2614773,1,1,English
Froggen,144496815,46710,10648,3024,770030,31800,3577064,1,0,English
BotanicX,144361350,71445,9135,1937,34119,11512,9335252,0,0,Russian
dinablin,144307800,60870,29316,2413,293748,239896,11129949,1,0,Russian
RiceGum,144167385,12300,29173,11696,903261,388376,2273737,1,0,English
ipav999,144114480,191400,2536,737,163956,82668,2920832,1,0,English
Lutti,143841150,89220,37121,1153,226344,163441,3727211,1,0,French
kragiee,143449350,121890,6298,1137,234312,65977,3136101,1,0,English
Puppers,143414790,98595,6798,1458,171425,64591,1753517,1,0,English
Crayator,143191365,75165,4911,1796,599828,177501,3865293,1,0,English
MANvsGAME,142696875,65775,5831,2103,510330,2336,2713787,1,1,English
TheRealMarzaa,142547775,93015,12525,1505,495558,258153,2909149,1,0,Italian
foggedftw2,142444290,111675,8622,1220,242205,109500,3438208,1,1,English
Linkus7,142322655,121755,7248,1121,96728,41862,1866513,1,0,English
Arcadum,142213980,134700,13801,992,120586,78642,2169921,1,0,English
ImMarksman,142168560,77430,11141,1889,633443,152094,1311402,1,0,English
LightFuryLF,142094850,111315,15139,1169,51589,32663,4989684,1,0,Thai
BarcaGamer,141736230,119565,57917,1234,636568,548578,3012949,1,0,Spanish
EFEUYGAC,141455130,38910,14481,3700,358498,297215,5234400,1,1,Turkish
Xnapycz,141426165,87885,4388,1572,94551,44450,4521040,1,1,Czech
SilentSentry,141219225,125760,5572,1085,301633,13533,1896110,1,0,English
球球 (lilballzlolz),141185625,78015,6328,1724,118276,9831,4212219,1,0,Chinese
DaigoTheBeasTV,141183435,57525,27261,2225,173271,42313,4166521,1,0,Japanese
UncleBjorn,141021495,134805,4265,975,111003,26514,7886426,1,0,Russian
AnniTheDuck,140975745,53220,7894,2533,460463,263210,7336341,1,1,German
StRoGo,140812395,29385,45087,4621,272944,258332,5978117,1,0,Russian
재슥짱 (pikra10),140512860,124170,4659,1068,77376,42516,2973636,1,0,Korean
貝莉莓 (beryl_lulu),140500785,81990,15901,1739,156726,49522,9765341,1,0,Chinese
purple_hs,140426535,111810,5460,1149,88792,18850,1512076,1,0,English
Harmii,140304750,116130,7200,1159,333858,168452,3556031,1,0,German
Zerkaa,140243025,51000,11192,2571,529504,373720,2530852,1,0,English
iklooode25,140170155,21360,42463,7265,418710,354335,1443848,1,0,Arabic
聶寶 (nielnieh345),140168070,186015,5455,728,93991,18742,4755073,1,0,Chinese
akagreenn,140084580,51600,21136,2902,117916,114861,3514645,1,1,Turkish
Spraggy,139893270,81585,30415,1674,99807,35453,3037728,1,0,English
TpaBoMaH,139724325,92445,6813,1531,151266,85717,7804776,1,0,Russian
Day9tv,139556325,64500,5597,2140,496790,13344,2495558,1,0,English
Sologesang,139273200,123390,5120,1072,58531,26062,4569358,1,0,German
karavay46,139258050,33045,48331,4037,354734,301941,8457221,1,0,Russian
RaulZitoYT,139249440,131460,6545,839,78971,76729,2725303,1,0,Portuguese
JonBams,139067415,88830,5577,1522,309837,75728,1940922,1,1,English
Japan_ASMR,138935670,509670,496,271,67707,32649,1272641,1,0,Japanese
OuterHeaven,137995935,94575,6955,1101,137954,7924,1037346,1,1,English
Yamikazexz,137528370,74490,12411,1643,201657,161100,5719244,1,0,English
aircool,137305080,128055,12620,964,153703,120570,1628826,1,0,English
Lapi,137258130,171570,8684,789,130323,16992,6792456,1,0,French
robn_live,137249820,133545,73664,656,66223,63975,1502917,1,0,English
과로사1 (aram4519),136944300,81570,14167,1592,301329,179604,5711063,1,0,Korean
Ezekiel_III,136597425,109890,18804,1190,190452,8969,4018240,1,1,English
RebeuDeter,135843000,18510,24675,7141,215360,194128,2560454,1,0,French
nookyyy,135590925,149220,7393,683,206681,78987,2481667,1,0,German
BrookeAB,135540690,48705,24357,2777,737161,247335,6936235,1,0,English
innocents,135250410,83790,13654,1557,534759,279080,3488587,1,1,English
RealKraftyy,135181170,108585,19953,1235,710277,21198,4102026,1,0,English
rhobalas_lol,135169095,174210,5224,779,100599,69851,3011205,1,0,French
veloxey,135057600,88620,8596,1273,252913,180142,1874494,1,0,Italian
ArQuel,134912310,116415,9110,1122,285920,45153,4895500,1,0,Polish
ElOjoNinja,134761230,82020,9339,1484,273504,133594,5226901,1,0,Spanish
Bamboe,134431230,118920,5956,1075,86644,25348,2322578,1,0,English
Sonecarox,133976280,239655,2445,569,87530,21318,3105118,1,1,Portuguese
MuTeX,133816530,150015,9448,824,200619,114872,1615269,1,1,English
RayNarvaezJr,133649520,82605,6611,1589,528396,29068,2180691,1,1,English
Tanovich,133079115,89865,10352,1434,296560,219383,3677360,1,1,Spanish
Zalae,133078635,95010,5934,1351,170668,23494,1776974,1,0,English
KheZu,132976365,124635,5322,991,122158,28840,2671995,1,0,English
mandiocaa1,132533775,29685,9540,4355,312944,29691,2567198,1,1,Portuguese
스피드소닉 (dragon3652),132487740,243375,2379,529,35503,11620,4618003,1,0,Korean
RiotGamesOCE,132387150,40890,50458,3076,149775,65748,8437414,1,0,English
Videoyun,132320235,123345,8057,1030,375697,85165,8078109,1,0,Turkish
AlcastHQ,132082785,28905,12999,4680,81928,24582,41833833,1,0,English
julien,132054690,80895,15150,1685,511861,177756,4880209,1,0,English
iGeStarK,131957700,79455,12893,1282,244437,231731,2948954,1,0,Spanish
Ziqoftw,131821710,94515,10569,1293,198304,33547,4933908,1,0,English
CyrusTWO,131621775,128085,2727,1027,96691,25277,5787660,1,1,Swedish
칸데르니아 (jmjdoc),131408250,170865,2395,756,30877,9502,4337476,1,0,Korean
CouRageJD,131341275,14010,72100,8717,2115596,120434,2874860,0,0,English
YoMax,131072925,58380,16952,2051,273980,129000,1715466,1,0,French
JeffHoogland,130973670,113655,3375,1070,68914,7290,1965274,1,0,English
Call of Duty (callofduty),130938960,3645,170131,19897,968465,50321,5423366,1,1,English
GoBGG,130398315,92730,4198,1400,229586,37272,5971819,1,0,French
Wackyjacky101,130390590,130335,5981,1012,209700,72794,9213152,1,0,English
TaKeTV,130220190,108555,31809,829,227062,13033,2855045,1,0,German
iceiceice,130179570,37545,8409,3107,183960,57797,2582911,1,0,English
StarCraft,130159470,14850,56109,6636,342409,22130,4110003,1,0,English
MadDecentLive,129993915,42510,36968,3069,95371,95352,44291541,0,0,English
WillerZ,129956310,133770,24663,872,79392,68899,2344895,1,1,English
SoyPan,129903855,132840,13884,954,343191,162018,2167760,1,0,Spanish
murilo_RT,129898080,383955,8185,315,70814,55939,3070308,1,1,Portuguese
Multiplayerit,129567630,111795,15237,1053,58786,17650,30889814,1,0,Italian
Markstrom,129129615,106620,71423,915,93045,35277,1829062,1,0,English
Krayn_Live,129103425,137040,4183,918,125775,20572,4621526,1,1,French
西門夜說 (westdoor),128928105,109065,5363,1165,272662,16908,5018006,1,1,Chinese
Sintica,128908575,94845,8467,1207,160387,110955,7008648,1,0,German
FantaBobShow,128845890,65565,8248,1936,348598,86339,3598696,1,1,French
ops1x,128783415,68235,23490,1457,268942,254190,3050489,1,0,English
wingz,128746905,92715,3940,1347,85695,32924,3057045,1,0,Spanish
ZLOYn,128586435,49230,14155,2603,294277,284221,6731111,1,0,Russian
HunterGodBr,128369655,89520,51612,1737,258876,254260,14078099,1,0,Portuguese
leplol1,128314530,125385,9307,1444,157981,116243,3163399,0,0,Portuguese
sacy,128171445,96630,10692,1304,206184,117190,3590048,1,0,Portuguese
헤징 (hejin0_0),127710465,125865,3032,1017,123451,72192,5800110,1,0,Korean
Naru,127650015,39825,13744,3045,344859,123779,5321664,1,0,Turkish
Warcraft,127646610,10005,51972,13741,593564,31688,6635421,1,0,English
FlexZ,127550640,114750,14278,897,155382,133959,3254805,1,0,Spanish
DizzyKitten,127398990,80100,10080,1584,613135,54653,8960383,1,0,English
지수소녀 (wltn4765),127291245,134070,9379,980,99600,68129,6213041,1,0,Korean
Staryuuki,127219620,77040,5530,1467,586475,530306,5418113,1,0,Spanish
CeMka,127117680,110550,18473,979,86502,22116,4241970,1,0,Russian
Halifax,126885855,160500,12478,793,228316,52433,2955093,1,0,English
Bidule,126808620,61395,10100,2052,82570,64920,2486535,0,1,French
Gabi,126779310,63480,17866,2174,271202,178648,3821231,1,0,Portuguese
Hype,126704460,81510,10030,1674,145476,101271,6185689,1,1,Turkish
Gigz,126436725,98685,15061,1136,254401,44075,1958787,1,0,English
매직박 (yagubu),126240810,66165,25478,1666,59697,53490,3379601,1,0,Korean
richwcampbell,126132675,69870,34756,1878,108410,57422,3790423,1,0,English
ESL_CSGO_FR,126026325,53295,22857,2570,193614,26073,4124889,1,0,French
양아지 (dkwl025),125872350,103365,6861,1237,220819,114560,4933531,1,0,Korean
Cizzorz,125812350,56970,11782,1891,1866339,222573,3095942,1,0,English
RyuQuezacotl,125680845,125820,4022,976,79063,9884,1867494,1,1,English
Sigma,125477415,94695,81683,798,61206,54151,1334161,1,1,English
Robbaz,125249820,86415,4938,1427,229652,23827,5009610,1,0,English
mailand,124936395,86865,6867,1400,86561,31605,3923343,1,1,German
Buozzi,124926540,142785,4036,872,75290,39547,5126434,1,1,Portuguese
HeyarTV,124878165,155700,2343,786,124479,17695,2506556,1,1,French
LenaGol0vach,124876665,30210,9115,4159,274237,40915,2969471,0,0,Russian
Sinner666,124812240,24765,27996,4530,7102,7101,21322548,0,0,Russian
TommyKayLIVE,124680810,108105,3536,1124,127770,58673,2561302,1,1,English
TMemoryy,124620795,130440,3244,924,171107,64750,1027960,1,0,English
Patriota,124595820,64305,29435,1951,646758,344213,3707623,1,0,Portuguese
러너교 (runner0608),124525605,52785,17926,2434,164902,58988,4276695,0,0,Korean
zorlaKOKA,124241010,100050,4977,1247,361102,83418,7654224,1,0,Portuguese
Hitch,124224555,132870,3976,875,96343,30813,1942552,1,1,English
calango,124180125,70155,8380,1736,767187,293608,3292645,1,0,Portuguese
Adin2Huncho,124133550,64920,14502,1470,199880,162642,956614,1,0,English
SlotRoom247,124078200,373800,20609,326,69183,69113,1338301,0,1,German
ALLinPav,124058985,137760,6221,850,71579,21360,3156265,1,1,English
Surefour,124056555,53145,7911,2289,331662,46991,2066041,1,1,English
NumotTheNummy,123899265,105930,3359,1118,103069,8045,1530401,1,0,English
aminematue,123826230,30480,16577,4016,124232,123363,2316908,1,0,French
CallMeCarsonLIVE,123486240,14340,61531,8208,1151712,732108,3533199,1,1,English
ZiggyDLive,123398085,99075,18437,1227,173807,15899,4249580,1,0,English
KEEMSTAR,123365895,3465,74195,35333,146035,46367,7139253,0,0,English
크캣66 (crazzyccat),123279435,192780,2543,644,35930,24849,1889696,1,0,Korean
RelaxBeats,123273930,521430,2830,235,166162,29595,1094850,1,0,English
LAGTVMaximusBlack,123125340,161535,7138,725,256353,13251,2310313,1,1,English
Destructoid,122628630,103020,14566,1190,48007,8995,87603521,1,0,English
LITkillah,122524635,13560,21359,9104,601927,562691,2162107,1,0,Spanish
빅헤드 (bighead033),122523705,153000,3940,793,213212,52289,4399897,1,0,Korean
마스카 (newmasca),122452320,217410,6431,567,109068,-4942,3417970,1,0,Korean
AndyMilonakis,122311065,104745,10543,1153,547446,109111,3926918,1,0,English
Remx,122192850,99180,13788,1205,178553,59432,2049420,1,0,French
